t,ωfl,ωfr,ωrl,ωrr
18.0,2.821732321377821,2.404431008551928,2.4044310085519243,2.8217323213777603
18.1,2.7906462120902793,2.3765440824939628,2.3765440824939428,2.7906462120902353
18.2,2.7606612335987633,2.3522521232757154,2.3522521232757088,2.760661233598779
18.3,2.7322255656351744,2.332059210032672,2.3320592100326714,2.732225565635147
18.4,2.705863755689503,2.3165208656756904,2.316520865675683,2.705863755689508
18.5,2.682187139781811,2.3062538350684174,2.3062538350684303,2.682187139781799
18.6,2.6619064986327796,2.301947857616511,2.301947857616517,2.661906498632772
18.7,2.6458476276990726,2.3043796055327954,2.3043796055327523,2.6458476276990455
18.8,2.6349706629870955,2.314428916060092,2.3144289160601264,2.634970662987064
18.9,2.6303941979968166,2.3330973790926666,2.3330973790926586,2.630394197996818
19.0,2.633425452528758,2.3615292414273754,2.361529241427389,2.6334254525287584
19.1,2.645598008989308,2.4010344422318477,2.401034442231813,2.6455980089892828
19.2,2.6687189056587894,2.453113384532889,2.453113384532881,2.6687189056588054
19.3,2.704927143454854,2.519482754985527,2.5194827549855643,2.704927143454848
19.4,2.7567658720986157,2.6021013095297274,2.602101309529727,2.7567658720986077
19.5,2.827270581040219,2.703194034663533,2.7031940346636394,2.8272705810402425
19.6,2.8829681502643436,2.7885189010919547,2.788518901091953,2.882968150264363
19.7,2.9266269978422197,2.860347564876361,2.86034756487636,2.926626997842165
19.8,2.9605504463860197,2.9206553890692755,2.9206553890692755,2.960550446386076
19.9,2.9866487312909697,2.971156527306827,2.9711565273068365,2.986648731291003
20.0,3.006501376084332,3.013334597036867,3.0133345970368404,3.006501376084318
20.1,3.021410748676945,3.048469789384373,3.048469789384368,3.0214107486768986
20.2,3.032447669752391,3.0776630096040076,3.0776630096040183,3.032447669752407
20.3,3.0404899825631975,3.1018574717980485,3.1018574717980143,3.040489982563119
20.4,3.0462549833190544,3.121858054519229,3.1218580545192682,3.046254983319041
20.5,3.0503265650271807,3.138348647940359,3.1383486479403535,3.050326565027166
20.6,3.05317785767791,3.1519076764757634,3.1519076764757936,3.0531778576779343
20.7,3.0551900652630986,3.1630219530513894,3.1630219530513832,3.055190065263091
20.8,3.056668113653372,3.1720990050630884,3.1720990050630444,3.05666811365336
20.9,3.057853638953094,3.1794780023594273,3.1794780023594504,3.0578536389530955
21.0,3.05893576718146,3.185439410881262,3.1854394108812905,3.058935767181438
21.1,3.0600600651630327,3.1902134899998993,3.1902134899999806,3.0600600651630505
21.2,3.061335980046957,3.1939877460353014,3.193987746035292,3.0613359800469344
21.3,3.0628430309655563,3.1969134484422326,3.1969134484422437,3.062843030965619
21.4,3.0646359704703463,3.1991113086734257,3.1991113086734395,3.064635970470364
21.5,3.066749094751955,3.2006764148017877,3.2006764148017623,3.0667490947519864
21.6,3.06919984946268,3.2016825078175986,3.201682507817093,3.069199849462727
21.7,3.0719918512390487,3.2021856782675506,3.202185678267585,3.071991851239011
21.8,3.0751174230331224,3.202227554786845,3.2022275547868517,3.0751174230331064
21.9,3.078559723293225,3.2018380491509513,3.2018380491509624,3.078559723293234
22.0,3.082294534277136,3.2010377159390293,3.2010377159389627,3.082294534277109
22.1,3.086291762742617,3.199839778726717,3.1998397787266777,3.086291762742555
22.2,3.0905166964779993,3.1982518689870387,3.198251868987027,3.090516696477946
22.3,3.094931052227964,3.1962775185861854,3.1962775185861734,3.0949310522280076
22.4,3.0994938441627333,3.1939174418573164,3.193917441857356,3.0994938441626814
